x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
169,349,250,0,1287,349,453,0,0.026318659858683
163,349,254,0,1298,349,470,0,0.026629602742224
145,349,255,0,1246,349,429,0,-0.049063795376175
128,349,192,0,1224,349,455,0,-0.007328547112955
117,349,146,0,1200,349,409,0,0.00234656779112
66,349,128,0,1231,349,399,0,-0.000454446851115
34,349,117,0,1163,349,392,0,0.034157617204884
13,349,103,0,1192,349,353,0,0.083767270272538
0,0,0,0,1195,349,317,0,0.170535159977567
0,0,0,0,1136,349,319,0,0.170535159977567
0,0,0,0,1173,349,231,0,0.187478924726468
0,0,0,0,1129,349,269,0,0.198089560601153
0,0,0,0,1114,349,264,0,0.202364352475394
0,0,0,0,1117,349,280,0,0.202798609898769
0,0,0,0,1111,349,294,0,0.202798609898769
0,0,0,0,1122,349,304,0,0.198055508120889
0,0,0,0,1123,349,297,0,0.198055508120889
0,0,0,0,1177,349,248,0,0.198055508120889
0,0,0,0,1124,349,277,0,0.198921927003056
0,0,0,0,1130,349,254,0,0.199988464875532
0,0,0,0,1141,349,219,0,0.21353596963215
0,0,0,0,1114,349,221,0,0.211069249997181
0,0,0,0,1146,349,216,0,0.211069249997181
0,0,0,0,1205,349,219,0,0.211069249997181
0,0,0,0,1178,349,225,0,0.200611616531412
0,0,0,0,1181,349,233,0,0.199400171232738
0,0,0,0,1178,349,269,0,0.196023156440095
0,0,0,0,1180,349,265,0,0.196023156440095
0,0,0,0,1213,349,274,0,0.182740781134642
0,0,0,0,1214,349,280,0,0.182740781134642
0,0,0,0,1237,349,309,0,0.175040143658952
0,0,0,0,1206,349,320,0,0.175040143658952
0,0,0,0,1227,349,337,0,0.173138817521711
0,0,0,0,1259,349,335,0,0.165139564113039
0,0,0,0,1200,349,366,0,0.162849920731837
0,0,0,0,1232,349,351,0,0.162849920731837
0,0,0,0,1217,349,354,0,0.164416425443405
0,0,0,0,1246,349,338,0,0.164416425443405
0,0,0,0,1257,349,370,0,0.162241973167439
-3,349,14,0,1219,349,381,0,0.105396219949744
0,349,42,0,1267,349,346,0,0.150712597973712
6,349,71,0,1179,349,407,0,0.150712597973712
13,349,89,0,1170,349,359,0,0.063539882837431
0,0,0,0,1195,349,333,0,0.063539882837431
0,0,0,0,1228,349,390,0,0.114348927390608
2,349,25,0,1203,349,390,0,0.164567697965797
0,0,0,0,1194,349,361,0,0.164567697965797
0,0,0,0,1207,349,351,0,0.167954303157391
0,0,0,0,1213,349,349,0,0.169670838801767
0,0,0,0,1200,349,408,0,0.167776339551707
0,0,0,0,1232,349,384,0,0.159552542244305
0,0,0,0,1232,349,419,0,0.159552542244305
0,0,0,0,1204,349,438,0,0.154967195188831
0,0,0,0,1234,349,436,0,0.152736713651041
0,0,0,0,1226,349,463,0,0.151877687324213
0,0,0,0,1238,349,457,0,0.090827902439563
0,0,0,0,1279,349,418,0,0.109969990432508
0,0,0,0,1336,349,404,0,0.155855323728695
0,0,0,0,1301,349,390,0,0.162667287485003
0,0,0,0,1345,349,384,0,0.165848393352926
0,0,0,0,1315,349,401,0,0.165848393352926
0,0,0,0,1345,349,382,0,0.131147633134759
0,0,0,0,1419,349,375,0,0.161998486259825
0,0,0,0,1390,349,414,0,0.161998486259825
0,0,0,0,1387,349,464,0,0.161998486259825
0,0,0,0,1389,349,450,0,0.158621597063455
0,0,0,0,1241,349,400,0,0.150577523973691
2,349,19,0,1420,349,464,0,0.150577523973691
5,349,41,0,1118,349,368,0,0.141690676406597
9,349,23,0,1252,349,452,0,0.141690676406597
16,349,32,0,1340,349,469,0,0.140794181063143
9,349,53,0,1391,349,516,0,0.140794181063143
14,349,76,0,1317,349,470,0,0.140452577261917
20,349,101,0,1366,349,514,0,0.132795441834464
31,349,126,0,1358,349,539,0,0.204112504890009
40,349,146,0,1390,349,536,0,0.204112504890009
39,349,176,0,1468,349,646,0,0.141597829941461
69,349,201,0,1389,349,579,0,0.141597829941461
83,349,225,0,1432,349,682,0,0.108123276120015
102,349,248,0,1426,349,671,0,0.095601855179498
113,349,270,0,1463,349,719,0,0.095601855179498
144,349,296,0,1474,349,740,0,0.084115117677748
156,349,323,0,1475,349,757,0,0.076576310606128
177,349,344,0,1490,349,770,0,0.076576310606128
194,349,368,0,1491,349,795,0,0.022845458078715
213,349,388,0,1479,349,789,0,0.012023406840624
228,349,402,0,1492,349,795,0,0.000157788088054
196,349,380,0,1507,349,832,0,0.000157788088054
103,349,317,0,1533,349,856,0,-0.013427879842532
155,349,351,0,1515,349,858,0,-0.013427879842532
202,349,397,0,1531,349,861,0,-0.025433213677999
188,349,390,0,1528,349,857,0,-0.025417662895351
142,349,358,0,1500,349,837,0,-0.027999313788473
82,349,326,0,1535,349,861,0,-0.023462266328456
126,349,354,0,1494,349,846,0,0.011867866099709
256,349,447,0,1498,349,866,0,0.011867866099709
121,349,351,0,1523,349,885,0,-0.02216322164251
132,349,351,0,1566,349,898,0,-0.02216322164251
162,349,384,0,1503,349,867,0,-0.018230843678128
149,349,365,0,1488,349,840,0,-0.018230843678128
231,349,443,0,1484,349,829,0,-0.018059876340689
230,349,441,0,1427,349,817,0,-0.018059876340689
225,349,433,0,1412,349,815,0,-0.010449786355506
210,349,427,0,1509,349,857,0,-0.000884412764867
201,349,428,0,1472,349,844,0,0.001795803380174
193,349,422,0,1434,349,826,0,0.015711954849751
185,349,420,0,1420,349,817,0,0.006003082751995
194,349,422,0,1419,349,823,0,0.004412077538828
185,349,420,0,1448,349,839,0,0.005475449893451
177,349,420,0,1430,349,828,0,0.003789730974908
178,349,424,0,1393,349,815,0,0.003789730974908
175,349,420,0,1406,349,811,0,0.005191224196129
165,349,414,0,1377,349,790,0,0.005191224196129
163,349,411,0,1409,349,803,0,0.007215981873495
158,349,414,0,1411,349,824,0,0.010227302960497
158,349,410,0,1427,349,850,0,0.016694291617135
137,349,412,0,1428,349,868,0,0.010437287085076
153,349,415,0,1439,349,870,0,0.017751561946333
153,349,412,0,1417,349,860,0,0.009833433630639
152,349,415,0,1402,349,848,0,0.006265703752331
151,349,416,0,1453,349,863,0,0.006265703752331
153,349,415,0,1391,349,832,0,0.000195696849002
156,349,415,0,1385,349,826,0,0.008596482813168
151,349,430,0,1388,349,816,0,0.008596482813168
155,349,429,0,1367,349,814,0,0.004486784373566
160,349,430,0,1385,349,819,0,0.00798402997171
156,349,430,0,1354,349,815,0,0.008952386266827
155,349,428,0,1364,349,821,0,0.00306709601726
150,349,426,0,1369,349,828,0,-0.000137766856954
149,349,423,0,1385,349,842,0,-0.000137766856954
152,349,425,0,1404,349,846,0,0.004566940312636
