x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1,g2,g3
124,349,426,0,1363,349,858,0,-0.00095461512728,0.00095461512728,-0.95461512728
111,349,429,0,1390,349,871,0,-0.001231428939625,0.001231428939625,-1.231428939625
119,349,426,0,1382,349,876,0,-0.001231428939625,0.001231428939625,-1.231428939625
120,349,424,0,1388,349,869,0,-0.000877460657594,0.000877460657594,-0.877460657594
122,349,427,0,1367,349,863,0,-3.26238285720479E-05,3.26238285720479E-05,-0.032623828572048
120,349,428,0,1384,349,870,0,-3.26238285720479E-05,3.26238285720479E-05,-0.032623828572048
118,349,422,0,1403,349,878,0,0.000172070681263,-0.000172070681263,0.172070681263
122,349,427,0,1393,349,872,0,0.000444431474642,-0.000444431474642,0.444431474642
122,349,430,0,1367,349,858,0,0.000508135494287,-0.000508135494287,0.508135494287
124,349,427,0,1383,349,872,0,0.000508135494287,-0.000508135494287,0.508135494287
124,349,426,0,1390,349,868,0,0.000680017879497,-0.000680017879497,0.680017879497
107,349,435,0,1412,349,876,0,-0.000452600627635,0.000452600627635,-0.452600627635
119,349,423,0,1405,349,875,0,-9.81828655283662E-05,9.81828655283662E-05,-0.098182865528366
113,349,427,0,1436,349,884,0,-9.81828655283662E-05,9.81828655283662E-05,-0.098182865528366
124,349,424,0,1439,349,896,0,0.000108697218639,-0.000108697218639,0.108697218639
119,349,423,0,1391,349,874,0,0.000385948995261,-0.000385948995261,0.385948995261
121,349,423,0,1392,349,870,0,-0.00029583958279,0.00029583958279,-0.29583958279
121,349,422,0,1381,349,872,0,-0.00029583958279,0.00029583958279,-0.29583958279
117,349,425,0,1388,349,867,0,0.000432496607947,-0.000432496607947,0.432496607947
117,349,425,0,1404,349,878,0,0.000643094322321,-0.000643094322321,0.643094322321
119,349,425,0,1393,349,871,0,0.001110769493196,-0.001110769493196,1.110769493196
127,349,426,0,1400,349,877,0,0.001110769493196,-0.001110769493196,1.110769493196
117,349,424,0,1401,349,878,0,0.000212720893164,-0.000212720893164,0.212720893164
124,349,425,0,1388,349,870,0,0.00049179331852,-0.00049179331852,0.49179331852
119,349,427,0,1409,349,878,0,0.000519506798747,-0.000519506798747,0.519506798747
123,349,423,0,1386,349,869,0,0.000519506798747,-0.000519506798747,0.519506798747
122,349,423,0,1368,349,857,0,0.000371730054292,-0.000371730054292,0.371730054292
122,349,429,0,1380,349,869,0,-0.000846411292749,0.000846411292749,-0.846411292749
114,349,434,0,1370,349,860,0,-0.000846411292749,0.000846411292749,-0.846411292749
